48,Cable Curl,Biceps,Basic,Machine,https://exrx.net/WeightExercises/Biceps/CBCurl
49,Chin-up,Back,Basic,None,https://exrx.net/WeightExercises/LatissimusDorsi/BWUnderhandChinup
50,Cable One Arm Curl,Biceps,Auxiliary,Machine,https://exrx.net/WeightExercises/Biceps/CBOneArmCurl
51,Cable Twisting Standing High Row,Back,Auxiliary,Machine,https://exrx.net/WeightExercises/BackGeneral/CBStandingTwistingHighRow
52,Dumbbell Bench Press,Chest,Basic,Freeweights,https://exrx.net/WeightExercises/PectoralSternal/DBBenchPress
53,Pull-up,Back,Basic,None,https://exrx.net/WeightExercises/LatissimusDorsi/BWPullup
54,Machine-assisted Pull-up,Back,Basic,Machine,https://exrx.net/WeightExercises/LatissimusDorsi/AsPullupKneeling
55,Cable Pulldown,Back,Basic,Machine,https://exrx.net/WeightExercises/LatissimusDorsi/CBFrontPulldown
56,Barbell Pullover,Back,Auxiliary,Freeweights,https://exrx.net/WeightExercises/LatissimusDorsi/BBPullover
57,Cable Pullover,Back,Auxiliary,Machine,https://exrx.net/WeightExercises/LatissimusDorsi/CBPullover
58,Barbell Shrug,Traps,Basic,Freeweights,https://exrx.net/WeightExercises/TrapeziusUpper/BBShrug
59,Cable Shrug,Traps,Basic,Machine,https://exrx.net/WeightExercises/TrapeziusUpper/CBShrug
60,Dumbbell Shrug,Traps,Basic,Freeweights,https://exrx.net/WeightExercises/TrapeziusUpper/DBShrug
61,Inverted Shrug,Traps,Basic,None,https://exrx.net/WeightExercises/TrapeziusUpper/BWInvertedShrugPB
62,Smith Shrug,Traps,Basic,Machine,https://exrx.net/WeightExercises/TrapeziusUpper/SMShrug
63,Sit-up,Abs,Basic,None,https://exrx.net/WeightExercises/RectusAbdominis/BWSitUp
64,Crunch,Abs,Auxiliary,None,https://exrx.net/WeightExercises/RectusAbdominis/BWCrunch
65,V-up,Abs,Basic,None,https://exrx.net/WeightExercises/RectusAbdominis/WtVUp
66,Jack-knife Sit-up,Abs,Basic,None,https://exrx.net/WeightExercises/RectusAbdominis/WtJackKnifeSitUp
67,Barbell Push Sit-up,Abs,Basic,Freeweights,https://exrx.net/WeightExercises/RectusAbdominis/BBPushSitUp
68,Dumbbell Push Sit-up,Abs,Basic,Freeweights,https://exrx.net/WeightExercises/RectusAbdominis/DBPushSitUp
69,Barbell Push Crunch,Abs,Auxiliary,Freeweights,https://exrx.net/WeightExercises/RectusAbdominis/BBPushCrunch
70,Dumbbell Push-Crunch,Abs,Auxiliary,Freeweights,https://exrx.net/WeightExercises/RectusAbdominis/DBPushCrunch
71,Cable Kneeling Crunch,Abs,Auxiliary,Machine,https://exrx.net/WeightExercises/RectusAbdominis/CBKneelingCrunch
72,Twisting Sit-up,Abs,Basic,None,https://exrx.net/WeightExercises/Obliques/BWTwistingSitUp
73,Side Crunch,Abs,Auxiliary,None,https://exrx.net/WeightExercises/Obliques/BWSideCrunch
74,Barbell Back Squat,Legs,Basic,Freeweights,https://exrx.net/WeightExercises/Quadriceps/BBFullSquat
75,Barbell Front Squat,Legs,Auxiliary,Freeweights,https://exrx.net/WeightExercises/Quadriceps/BBFrontSquat
76,Lunge,Legs,Auxiliary,None,https://exrx.net/WeightExercises/Quadriceps/BWLunge
77,Seated Leg Press,Legs,Basic,Machine,https://exrx.net/WeightExercises/Quadriceps/LVSeatedLegPressH
78,Leg Extension,Legs,Auxiliary,Machine,https://exrx.net/WeightExercises/Quadriceps/LVLegExtensionH
79,Single Leg Squat,Legs,Basic,None,https://exrx.net/WeightExercises/Quadriceps/BWSingleLegSquat
80,Barbell Straight Leg Deadlift,Legs,Basic,Freeweights,https://exrx.net/WeightExercises/Hamstrings/BBStraightLegDeadlift
81,Lying Leg Curl,Legs,Basic,Machine,https://exrx.net/WeightExercises/Hamstrings/LVLyingLegCurlH
82,Hanging Leg Curl,Legs,Auxiliary,None,https://exrx.net/WeightExercises/Hamstrings/BWHangingLegCurl
83,Calf Raise,Legs,Basic,Machine,https://exrx.net/WeightExercises/Gastrocnemius/LV45CalfRaise
84,Single Leg Calf Raise,Legs,Auxiliary,None,https://exrx.net/WeightExercises/Gastrocnemius/BWSingleLegCalfRaise
85,Barbell Hip Thrust,Legs,Auxiliary,Freeweights,https://exrx.net/WeightExercises/GluteusMaximus/BBHipThrust
